"filename", "language", "XML", "Razor", "CSS", "Markdown", "JavaScript", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Cart\Detail.cshtml", "Razor", 0, 123, 0, 0, 0, 0, 0, 0, 0, 6, 129
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Cart\OrderSummary.cshtml", "Razor", 0, 162, 0, 0, 0, 0, 0, 0, 0, 7, 169
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Cart\Payment.cshtml", "Razor", 0, 83, 0, 0, 0, 0, 0, 0, 0, 5, 88
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Cart\SuccessPayment.cshtml", "Razor", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Home\Index.cshtml", "Razor", 0, 75, 0, 0, 0, 0, 0, 0, 0, 10, 85
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Home\ListProducts.cshtml", "Razor", 0, 79, 0, 0, 0, 0, 0, 0, 0, 4, 83
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Restaurant\AddRestaurantComment.cshtml", "Razor", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Restaurant\Detail.cshtml", "Razor", 0, 145, 0, 0, 0, 0, 0, 0, 0, 9, 154
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\ActiveOrders.cshtml", "Razor", 0, 93, 0, 0, 0, 0, 0, 0, 0, 3, 96
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\AddProduct.cshtml", "Razor", 0, 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"c:\Users\yusuf\Desktop\YemekGuru\YemekGuru.webapp\Views\Seller\CanceledOrders.cshtml", "Razor", 0, 69, 0, 0, 0, 0, 0, 0, 0, 2, 71
